#RIC,Alias Underlying RIC,Domain,Date-Time,Type,Open,High,Low,Last,Volume,No. Trades,Open Bid,High Bid,Low Bid,Close Bid,No. Bids,Open Ask,High Ask,Low Ask,Close Ask,No. Asks,Open Bid Size,High Bid Size,Low Bid Size,Close Bid Size,Open Ask Size,High Ask Size,Low Ask Size,Close Ask Size,Open Mid Price,High Mid Price,Low Mid Price,Close Mid Price,Filter
NDQ.AUX,,Market Price,2025-03-20T00:00:00.000000000+11,Intraday 5Sec,,,,,,,45.61,45.61,45.61,45.61,0,45.7,45.7,45.7,45.7,0,1000,1000,1000,1000,2000,2000,2000,2000,,,,,Before Market
NDQ.AUX,,Market Price,2025-03-20T00:00:05.000000000+11,Intraday 5Sec,,,,,,,45.61,45.61,45.61,45.61,0,45.7,45.7,45.7,45.7,0,1000,1000,1000,1000,2000,2000,2000,2000,,,,,Before Market
NDQ.AUX,,Market Price,2025-03-20T00:00:10.000000000+11,Intraday 5Sec,,,,,,,45.61,45.61,45.61,45.61,0,45.7,45.7,45.7,45.7,0,1000,1000,1000,1000,2000,2000,2000,2000,,,,,Before Market
NDQ.AUX,,Market Price,2025-03-20T00:00:15.000000000+11,Intraday 5Sec,,,,,,,45.61,45.61,45.61,45.61,0,45.7,45.7,45.7,45.7,0,1000,1000,1000,1000,2000,2000,2000,2000,,,,,Before Market
NDQ.AUX,,Market Price,2025-03-20T00:00:20.000000000+11,Intraday 5Sec,,,,,,,45.61,45.61,45.61,45.61,0,45.7,45.7,45.7,45.7,0,1000,1000,1000,1000,2000,2000,2000,2000,,,,,Before Market
NDQ.AUX,,Market Price,2025-03-20T00:00:25.000000000+11,Intraday 5Sec,,,,,,,45.61,45.61,45.61,45.61,0,45.7,45.7,45.7,45.7,0,1000,1000,1000,1000,2000,2000,2000,2000,,,,,Before Market
NDQ.AUX,,Market Price,2025-03-20T00:00:30.000000000+11,Intraday 5Sec,,,,,,,45.61,45.61,45.61,45.61,0,45.7,45.7,45.7,45.7,0,1000,1000,1000,1000,2000,2000,2000,2000,,,,,Before Market
NDQ.AUX,,Market Price,2025-03-20T00:00:35.000000000+11,Intraday 5Sec,,,,,,,45.61,45.61,45.61,45.61,0,45.7,45.7,45.7,45.7,0,1000,1000,1000,1000,2000,2000,2000,2000,,,,,Before Market
NDQ.AUX,,Market Price,2025-03-20T00:00:40.000000000+11,Intraday 5Sec,,,,,,,45.61,45.61,45.61,45.61,0,45.7,45.7,45.7,45.7,0,1000,1000,1000,1000,2000,2000,2000,2000,,,,,Before Market
NDQ.AUX,,Market Price,2025-03-20T00:00:45.000000000+11,Intraday 5Sec,,,,,,,45.61,45.61,45.61,45.61,0,45.7,45.7,45.7,45.7,0,1000,1000,1000,1000,2000,2000,2000,2000,,,,,Before Market
NDQ.AUX,,Market Price,2025-03-20T00:00:50.000000000+11,Intraday 5Sec,,,,,,,45.61,45.61,45.61,45.61,0,45.7,45.7,45.7,45.7,0,1000,1000,1000,1000,2000,2000,2000,2000,,,,,Before Market
NDQ.AUX,,Market Price,2025-03-20T00:00:55.000000000+11,Intraday 5Sec,,,,,,,45.61,45.61,45.61,45.61,0,45.7,45.7,45.7,45.7,0,1000,1000,1000,1000,2000,2000,2000,2000,,,,,Before Market
NDQ.AUX,,Market Price,2025-03-20T00:01:00.000000000+11,Intraday 5Sec,,,,,,,45.61,45.61,45.61,45.61,0,45.7,45.7,45.7,45.7,0,1000,1000,1000,1000,2000,2000,2000,2000,,,,,Before Market
NDQ.AUX,,Market Price,2025-03-20T00:01:05.000000000+11,Intraday 5Sec,,,,,,,45.61,45.61,45.61,45.61,0,45.7,45.7,45.7,45.7,0,1000,1000,1000,1000,2000,2000,2000,2000,,,,,Before Market
NDQ.AUX,,Market Price,2025-03-20T00:01:10.000000000+11,Intraday 5Sec,,,,,,,45.61,45.61,45.61,45.61,0,45.7,45.7,45.7,45.7,0,1000,1000,1000,1000,2000,2000,2000,2000,,,,,Before Market
NDQ.AUX,,Market Price,2025-03-20T00:01:15.000000000+11,Intraday 5Sec,,,,,,,45.61,45.61,45.61,45.61,0,45.7,45.7,45.7,45.7,0,1000,1000,1000,1000,2000,2000,2000,2000,,,,,Before Market
NDQ.AUX,,Market Price,2025-03-20T00:01:20.000000000+11,Intraday 5Sec,,,,,,,45.61,45.61,45.61,45.61,0,45.7,45.7,45.7,45.7,0,1000,1000,1000,1000,2000,2000,2000,2000,,,,,Before Market
NDQ.AUX,,Market Price,2025-03-20T00:01:25.000000000+11,Intraday 5Sec,,,,,,,45.61,45.61,45.61,45.61,0,45.7,45.7,45.7,45.7,0,1000,1000,1000,1000,2000,2000,2000,2000,,,,,Before Market
NDQ.AUX,,Market Price,2025-03-20T00:01:30.000000000+11,Intraday 5Sec,,,,,,,45.61,45.61,45.61,45.61,0,45.7,45.7,45.7,45.7,0,1000,1000,1000,1000,2000,2000,2000,2000,,,,,Before Market
NDQ.AUX,,Market Price,2025-03-20T00:01:35.000000000+11,Intraday 5Sec,,,,,,,45.61,45.61,45.61,45.61,0,45.7,45.7,45.7,45.7,0,1000,1000,1000,1000,2000,2000,2000,2000,,,,,Before Market
NDQ.AUX,,Market Price,2025-03-20T00:01:40.000000000+11,Intraday 5Sec,,,,,,,45.61,45.61,45.61,45.61,0,45.7,45.7,45.7,45.7,0,1000,1000,1000,1000,2000,2000,2000,2000,,,,,Before Market
NDQ.AUX,,Market Price,2025-03-20T00:01:45.000000000+11,Intraday 5Sec,,,,,,,45.61,45.61,45.61,45.61,0,45.7,45.7,45.7,45.7,0,1000,1000,1000,1000,2000,2000,2000,2000,,,,,Before Market
NDQ.AUX,,Market Price,2025-03-20T00:01:50.000000000+11,Intraday 5Sec,,,,,,,45.61,45.61,45.61,45.61,0,45.7,45.7,45.7,45.7,0,1000,1000,1000,1000,2000,2000,2000,2000,,,,,Before Market
NDQ.AUX,,Market Price,2025-03-20T00:01:55.000000000+11,Intraday 5Sec,,,,,,,45.61,45.61,45.61,45.61,0,45.7,45.7,45.7,45.7,0,1000,1000,1000,1000,2000,2000,2000,2000,,,,,Before Market
NDQ.AUX,,Market Price,2025-03-20T00:02:00.000000000+11,Intraday 5Sec,,,,,,,45.61,45.61,45.61,45.61,0,45.7,45.7,45.7,45.7,0,1000,1000,1000,1000,2000,2000,2000,2000,,,,,Before Market
NDQ.AUX,,Market Price,2025-03-20T00:02:05.000000000+11,Intraday 5Sec,,,,,,,45.61,45.61,45.61,45.61,0,45.7,45.7,45.7,45.7,0,1000,1000,1000,1000,2000,2000,2000,2000,,,,,Before Market
NDQ.AUX,,Market Price,2025-03-20T00:02:10.000000000+11,Intraday 5Sec,,,,,,,45.61,45.61,45.61,45.61,0,45.7,45.7,45.7,45.7,0,1000,1000,1000,1000,2000,2000,2000,2000,,,,,Before Market
NDQ.AUX,,Market Price,2025-03-20T00:02:15.000000000+11,Intraday 5Sec,,,,,,,45.61,45.61,45.61,45.61,0,45.7,45.7,45.7,45.7,0,1000,1000,1000,1000,2000,2000,2000,2000,,,,,Before Market
NDQ.AUX,,Market Price,2025-03-20T00:02:20.000000000+11,Intraday 5Sec,,,,,,,45.61,45.61,45.61,45.61,0,45.7,45.7,45.7,45.7,0,1000,1000,1000,1000,2000,2000,2000,2000,,,,,Before Market
NDQ.AUX,,Market Price,2025-03-20T00:02:25.000000000+11,Intraday 5Sec,,,,,,,45.61,45.61,45.61,45.61,0,45.7,45.7,45.7,45.7,0,1000,1000,1000,1000,2000,2000,2000,2000,,,,,Before Market
NDQ.AUX,,Market Price,2025-03-20T00:02:30.000000000+11,Intraday 5Sec,,,,,,,45.61,45.61,45.61,45.61,0,45.7,45.7,45.7,45.7,0,1000,1000,1000,1000,2000,2000,2000,2000,,,,,Before Market
NDQ.AUX,,Market Price,2025-03-20T00:02:35.000000000+11,Intraday 5Sec,,,,,,,45.61,45.61,45.61,45.61,0,45.7,45.7,45.7,45.7,0,1000,1000,1000,1000,2000,2000,2000,2000,,,,,Before Market
NDQ.AUX,,Market Price,2025-03-20T00:02:40.000000000+11,Intraday 5Sec,,,,,,,45.61,45.61,45.61,45.61,0,45.7,45.7,45.7,45.7,0,1000,1000,1000,1000,2000,2000,2000,2000,,,,,Before Market
NDQ.AUX,,Market Price,2025-03-20T00:02:45.000000000+11,Intraday 5Sec,,,,,,,45.61,45.61,45.61,45.61,0,45.7,45.7,45.7,45.7,0,1000,1000,1000,1000,2000,2000,2000,2000,,,,,Before Market
NDQ.AUX,,Market Price,2025-03-20T00:02:50.000000000+11,Intraday 5Sec,,,,,,,45.61,45.61,45.61,45.61,0,45.7,45.7,45.7,45.7,0,1000,1000,1000,1000,2000,2000,2000,2000,,,,,Before Market
NDQ.AUX,,Market Price,2025-03-20T00:02:55.000000000+11,Intraday 5Sec,,,,,,,45.61,45.61,45.61,45.61,0,45.7,45.7,45.7,45.7,0,1000,1000,1000,1000,2000,2000,2000,2000,,,,,Before Market
NDQ.AUX,,Market Price,2025-03-20T00:03:00.000000000+11,Intraday 5Sec,,,,,,,45.61,45.61,45.61,45.61,0,45.7,45.7,45.7,45.7,0,1000,1000,1000,1000,2000,2000,2000,2000,,,,,Before Market
